cluster,The Barbecue Chicken Pizza,The California Chicken Pizza,The Classic Deluxe Pizza,The Hawaiian Pizza,The Italian Supreme Pizza,The Pepperoni Pizza,The Thai Chicken Pizza,The Vegetables + Vegetables Pizza
0,1,1,0,0,0,1,0,0
1,1,1,0,0,0,1,0,0
2,0,1,0,1,0,1,0,0
3,1,0,0,1,0,0,1,0
4,0,0,1,1,0,0,1,0
5,1,0,1,1,0,0,0,0
6,1,0,1,0,0,1,0,0
7,1,1,0,0,1,0,0,0
8,0,1,1,1,0,0,0,0
9,1,0,1,0,0,1,0,0
10,0,1,1,1,0,0,0,0
11,0,1,1,0,0,1,0,0
12,0,0,1,0,0,1,1,0
13,0,0,1,1,0,1,0,0
14,0,0,1,0,0,1,1,0
15,0,1,0,1,0,1,0,0
16,0,0,1,1,0,0,1,0
17,0,1,0,1,0,0,1,0
18,0,1,1,0,0,0,0,1
